date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:20	19800/19800	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:18%20GMT	https://htmldemo.net/eme/eme/images/banner/bn-3/5.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/bn-3/5.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:21	25621/25621	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:19%20GMT	https://htmldemo.net/eme/eme/images/banner/bn-3/6.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/bn-3/6.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:21	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Nov%202023%2005:37:19%20GMT	https://htmldemo.net/eme/eme/about.html	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/about.html	(from https://htmldemo.net/eme/eme/index.html)
12:37:22	6116/6116	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:20%20GMT	https://htmldemo.net/eme/eme/images/others/shape/paypol.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/others/shape/paypol.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:23	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d080-17b8b%22	https://htmldemo.net/eme/eme/js/vendor/jquery-1.12.4.min.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/vendor/jquery-1.12.4.min.js	(from https://htmldemo.net/eme/eme/index.html)
12:37:23	78823/78823	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d05a-133e7%22	https://htmldemo.net/eme/eme/js/bootstrap.min.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/bootstrap.min.js	(from https://htmldemo.net/eme/eme/index.html)
12:37:24	40461/40461	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d05b-9e0d%22	https://htmldemo.net/eme/eme/js/slick.min.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/slick.min.js	(from https://htmldemo.net/eme/eme/index.html)
12:37:24	120929/120929	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d05c-1d861%22	https://htmldemo.net/eme/eme/js/plugins.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/plugins.js	(from https://htmldemo.net/eme/eme/index.html)
12:37:24	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d05c-a70e%22	https://htmldemo.net/eme/eme/js/owl.carousel.min.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/owl.carousel.min.js	(from https://htmldemo.net/eme/eme/index.html)
12:37:24	8044/8044	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d05b-1f6c%22	https://htmldemo.net/eme/eme/js/waypoints.min.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/waypoints.min.js	(from https://htmldemo.net/eme/eme/index.html)
12:37:25	13842/13842	---MCZ	200	added ('OK')	application/javascript	etag:W/%226145d059-3612%22	https://htmldemo.net/eme/eme/js/main.js	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/js/main.js	(from https://htmldemo.net/eme/eme/index.html)
